parameter,r,p
May_PY,0.041344014,0.755870858
June_PY,0.066691778,0.615760343
July_PY,0.004918607,0.970507023
Aug_PY,0.053509319,0.687310657
Sep_PY,-0.137944356,0.297462184
Oct_PY,0.114249932,0.388896668
Nov_PY,-0.206766077,0.116124295
Dec_PY,-0.044379421,0.738563915
Jan,-0.186687232,0.087707343
Feb,0.031887919,0.810519408
March,0.216274791,0.099922364
April,-0.051596425,0.697943031
May,-0.139016219,0.293687702
June,-0.286687232,0.027707343
July,0.056516709,0.6707165
Aug,0.071900383,0.588395952
Sep,-0.289480203,0.044875403
Oct,-0.350148189,0.036942914
Nov,0.135563141,0.305959888
PM,0.03347701,0.801264855
M,-0.098811057,0.456533041
PoM,-0.398805503,0.016527673
DS,0.016268614,0.902664641
